TimeDomainData,recording,SampleRateInHz
-24.6077271432,0,250
-29.3740887069,0,250
-21.8365866991,0,250
-27.7114044405,0,250
-21.9474323169,0,250
-26.2704114096,0,250
-22.0582779347,0,250
-27.1571763517,0,250
-18.7329094018,0,250
-21.9474323169,0,250
-15.1858496334,0,250
-18.7329094018,0,250
-13.3014741314,0,250
-16.5159970465,0,250
-10.6411793052,0,250
-17.7352988419,0,250
-14.0773934558,0,250
-19.6196743439,0,250
-16.4051514288,0,250
-22.2799691702,0,250
-14.8533127801,0,250
-19.1762918728,0,250
-16.1834601933,0,250
-23.0558884945,0,250
-16.9593795176,0,250
-20.7281305215,0,250
-15.85092334,0,250
-22.0582779347,0,250
-18.8437550196,0,250
-27.489713205,0,250
-22.6125060235,0,250
-26.6029482629,0,250
-21.8365866991,0,250
-25.7161833208,0,250
-19.8413655794,0,250
-25.9378745563,0,250
-22.3908147879,0,250
-29.2632430892,0,250
-26.1595657918,0,250
-31.0367729734,0,250
-24.1643446721,0,250
-27.933095676,0,250
-22.5016604057,0,250
-26.0487201741,0,250
-22.2799691702,0,250
-25.9378745563,0,250
-18.0678356952,0,250
-22.3908147879,0,250
-16.7376882821,0,250
-22.5016604057,0,250
-15.2966952512,0,250
-19.6196743439,0,250
-17.5136076064,0,250
-25.0511096142,0,250
-18.4003725485,0,250
-22.1691235524,0,250
-17.9569900775,0,250
-22.6125060235,0,250
-17.5136076064,0,250
-21.3932042281,0,250
-13.523165367,0,250
-16.0726145755,0,250
-14.1882390735,0,250
-20.8389761393,0,250
-13.1906285137,0,250
-18.4003725485,0,250
-14.0773934558,0,250
-20.0630568149,0,250
-11.7496354828,0,250
-16.5159970465,0,250
-15.4075408689,0,250
-18.8437550196,0,250
-13.1906285137,0,250
-19.0654462551,0,250
-13.6340109847,0,250
-17.9569900775,0,250
-10.7520249229,0,250
-15.9617689577,0,250
-10.5303336874,0,250
-14.9641583979,0,250
-8.9784950387,0,250
-15.1858496334,0,250
-11.0845617762,0,250
-15.85092334,0,250
-10.9737161584,0,250
-16.5159970465,0,250
-10.8628705407,0,250
-14.2990846913,0,250
-6.3182002124,0,250
-12.6364004249,0,250
-8.2025757144,0,250
-13.3014741314,0,250
-8.9784950387,0,250
-12.5255548071,0,250
-8.2025757144,0,250
-14.7424671624,0,250
-10.1977968341,0,250
-14.9641583979,0,250
-8.0917300966,0,250
-13.1906285137,0,250
-7.6483476256,0,250
-11.195407394,0,250
-7.6483476256,0,250
-13.6340109847,0,250
-7.9808844789,0,250
-11.5279442473,0,250
-5.5422808881,0,250
-9.4218775098,0,250
-3.5470597684,0,250
-9.8652599808,0,250
-6.8724283012,0,250
-13.1906285137,0,250
-7.2049651545,0,250
-12.7472460426,0,250
-7.9808844789,0,250
-9.5327231275,0,250
-3.7687510039,0,250
-8.3134213322,0,250
-2.1060667375,0,250
-6.2073545947,0,250
-0.5542280888,0,250
-5.5422808881,0,250
1.4409930309,0,250
-4.5446703282,0,250
1.3301474131,0,250
-0.7759193243,0,250
2.9928316796,0,250
-6.539891448,0,250
-3.7687510039,0,250
-8.867649421,0,250
-3.1036772973,0,250
-7.0941195368,0,250
-0.1108456178,0,250
-6.539891448,0,250
-0.443382471,0,250
-2.7711404441,0,250
0.9976105599,0,250
-4.3229790927,0,250
0.2216912355,0,250
-6.8724283012,0,250
-4.212133475,0,250
-7.6483476256,0,250
-0.1108456178,0,250
-7.2049651545,0,250
-2.2169123552,0,250
-8.867649421,0,250
-5.2097440348,0,250
-8.7568038032,0,250
-3.1036772973,0,250
-8.0917300966,0,250
-3.3253685329,0,250
-4.8772071815,0,250
0.8867649421,0,250
-4.8772071815,0,250
-1.4409930309,0,250
-6.8724283012,0,250
-0.5542280888,0,250
-7.6483476256,0,250
-2.4386035908,0,250
-9.2001862743,0,250
-5.0988984171,0,250
-8.4242669499,0,250
-4.212133475,0,250
-9.4218775098,0,250
-3.6579053861,0,250
-8.6459581854,0,250
-2.327757973,0,250
-4.3229790927,0,250
1.5518386487,0,250
-5.0988984171,0,250
-0.7759193243,0,250
-3.8795966217,0,250
0.7759193243,0,250
-5.4314352703,0,250
-1.1084561776,0,250
-6.3182002124,0,250
0.2216912355,0,250
-8.4242669499,0,250
-11.5279442473,0,250
-19.8413655794,0,250
-16.0726145755,0,250
-22.9450428767,0,250
-19.5088287261,0,250
